week,n_medicine
30-04-2011,26
07-05-2011,24
14-05-2011,14.5
21-05-2011,53.5
28-05-2011,17
04-06-2011,15.5
11-06-2011,4
18-06-2011,41
25-06-2011,29
02-07-2011,26
09-07-2011,2
16-07-2011,8
23-07-2011,13
30-07-2011,7
06-08-2011,27
13-08-2011,9
20-08-2011,17
27-08-2011,28
03-09-2011,8
10-09-2011,6
17-09-2011,29
24-09-2011,75
01-10-2011,40
08-10-2011,39
15-10-2011,12
22-10-2011,35
29-10-2011,21
05-11-2011,25
12-11-2011,39
19-11-2011,63
26-11-2011,24
03-12-2011,4
10-12-2011,65
17-12-2011,28
24-12-2011,17
31-12-2011,30
07-01-2012,33
14-01-2012,2
21-01-2012,93
28-01-2012,2
04-02-2012,5
11-02-2012,41
18-02-2012,73
25-02-2012,23
03-03-2012,21
10-03-2012,49
17-03-2012,79
24-03-2012,39
31-03-2012,85
07-04-2012,22
